192.168.138.207,"['sls.update.microsoft.com', 'login.live.com']","['Microsoft Update Secure Server CA 2.1', 'Microsoft IT TLS CA 2']",white
192.168.253.235,['tgrmn.com'],['COMODO RSA Domain Validation Secure Server CA'],white
192.168.173.58,['fullscreensavers.com'],["Let's Encrypt Authority X3"],white
192.168.107.38,['sapi.norton.com'],['DigiCert Global CA G2'],white
192.168.254.236,"['izhongcheng.cn', '*.cdn.myqcloud.com', '*.adobe.com']","['GeoTrust CN RSA CA G1', 'Sectigo RSA Domain Validation Secure Server CA', 'DigiCert SHA2 Secure Server CA']",white
192.168.211.88,"['google.com', 'google.com', 'google.com', 'google.com']","['GTS CA 1O1', 'GTS CA 1O1', 'GTS CA 1O1', 'GTS CA 1O1']",white
192.168.21.144,"['launch.getgo.com', 'livessl.chinanetcenter.com']","['DigiCert SHA2 Secure Server CA', 'DigiCert CN RSA CA G1']",white
192.168.99.29,"['google.com', 'google.com']","['GTS CA 1O1', 'GTS CA 1O1']",white
192.168.197.154,['google.com'],['GTS CA 1O1'],white
192.168.122.167,"['launch.getgo.com', 'livessl.chinanetcenter.com']","['DigiCert SHA2 Secure Server CA', 'DigiCert CN RSA CA G1']",white
192.168.235.126,"['*.screencast-o-matic.com', '*.screencast-o-matic.com']","['DigiCert SHA2 Secure Server CA', 'DigiCert SHA2 Secure Server CA']",white
192.168.188.127,"['google.com', 'google.com']","['GTS CA 1O1', 'GTS CA 1O1']",white
192.168.165.33,['google.com'],['GTS CA 1O1'],white
192.168.75.187,['google.com'],['GTS CA 1O1'],white
192.168.69.15,['google.com'],['GTS CA 1O1'],white
192.168.250.125,['webdav.yandex.ru'],['Yandex CA'],white
192.168.231.180,"['google.com', 'google.com']","['GTS CA 1O1', 'GTS CA 1O1']",white
192.168.16.95,['sls.update.microsoft.com'],['Microsoft Update Secure Server CA 2.1'],white
192.168.147.104,"['ninite.com', 'ninite.com']","['Amazon', 'Amazon']",white
192.168.93.203,"['google.com', 'google.com']","['GTS CA 1O1', 'GTS CA 1O1']",white
192.168.92.89,['*.pdfsam.org'],['AlphaSSL CA - SHA256 - G2'],white
192.168.196.69,"['google.com', 'google.com']","['GTS CA 1O1', 'GTS CA 1O1']",white
192.168.157.216,"['autoupdate.opera.com', '*.opera.com', '*.operacdn.com']","['DigiCert SHA2 High Assurance Server CA', 'DigiCert SHA2 High Assurance Server CA', 'DigiCert SHA2 Secure Server CA']",white
192.168.112.7,"['www.techsmith.com', 'download.techsmith.com']","['DigiCert SHA2 Secure Server CA', 'DigiCert SHA2 Secure Server CA']",white
192.168.220.46,"['secure.logmeinrescue.com', '*.app10-06.logmein.com', '*.app10-02.logmein.com', '*.app10-15.logmein.com', '*.app10-08.logmein.com']","['GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018']",white
192.168.25.48,['google.com'],['GTS CA 1O1'],white
192.168.152.57,['sls.update.microsoft.com'],['Microsoft Update Secure Server CA 2.1'],white
192.168.99.6,"['secure.logmeinrescue.com', '*.app10-09.logmein.com', '*.app10-15.logmein.com', '*.app10-06.logmein.com', '*.app10-15.logmein.com', '*.app10-11.logmein.com', '*.app10-02.logmein.com', '*.app10-15.logmein.com', '*.app10-15.logmein.com', '*.app10-11.logmein.com', '*.app10-10.logmein.com', '*.app10-10.logmein.com', '*.app10-07.logmein.com', '*.app10-15.logmein.com', '*.app10-04.logmein.com', '*.app10-02.logmein.com', '*.app10-11.logmein.com', '*.app10-03.logmein.com', '*.app10-10.logmein.com', '*.app10-11.logmein.com', '*.app10-11.logmein.com', '*.app10-10.logmein.com', '*.app10-11.logmein.com', '*.app10-11.logmein.com', '*.app10-11.logmein.com', '*.app10-06.logmein.com', '*.app10-10.logmein.com', '*.app10-15.logmein.com', '*.app10-10.logmein.com', '*.app10-07.logmein.com', '*.app10-15.logmein.com', '*.app10-07.logmein.com', '*.app10-07.logmein.com']","['GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018', 'GlobalSign RSA OV SSL CA 2018']",white
192.168.207.122,"['google.com', 'google.com']","['GTS CA 1O1', 'GTS CA 1O1']",white
192.168.243.130,"['*.mql5.com', '*.mql5.com', '*.mql5.com', '*.mql5.com', '*.mql5.com', '*.mql5.com', '*.mql5.com', '*.mql5.com', '*.mql5.com', '*.mql5.com', '*.mql5.com']","['Go Daddy Secure Certificate Authority - G2', 'Go Daddy Secure Certificate Authority - G2', 'Go Daddy Secure Certificate Authority - G2', 'Go Daddy Secure Certificate Authority - G2', 'Go Daddy Secure Certificate Authority - G2', 'Go Daddy Secure Certificate Authority - G2', 'Go Daddy Secure Certificate Authority - G2', 'Go Daddy Secure Certificate Authority - G2', 'Go Daddy Secure Certificate Authority - G2', 'Go Daddy Secure Certificate Authority - G2', 'Go Daddy Secure Certificate Authority - G2']",white
192.168.40.125,['go.microsoft.com'],['Microsoft IT TLS CA 5'],white
192.168.101.20,['google.com'],['GTS CA 1O1'],white
192.168.79.81,['baidu.com'],['GlobalSign Organization Validation CA - SHA256 - G2'],white
192.168.138.167,['ninite.com'],['Amazon'],white
192.168.96.209,"['google.com', 'google.com', 'google.com', 'google.com']","['GTS CA 1O1', 'GTS CA 1O1', 'GTS CA 1O1', 'GTS CA 1O1']",white
192.168.255.203,['*.google.com'],['GTS CA 1O1'],white
192.168.32.61,"['google.com', 'google.com', 'google.com', 'google.com', 'google.com']","['GTS CA 1O1', 'GTS CA 1O1', 'GTS CA 1O1', 'GTS CA 1O1', 'GTS CA 1O1']",white
192.168.2.230,"['autoupdate.opera.com', '*.opera.com']","['DigiCert SHA2 High Assurance Server CA', 'DigiCert SHA2 High Assurance Server CA']",white
192.168.183.37,['baidu.com'],['GlobalSign Organization Validation CA - SHA256 - G2'],white
192.168.253.210,"['autoupdate.opera.com', '*.opera.com', '*.operacdn.com']","['DigiCert SHA2 High Assurance Server CA', 'DigiCert SHA2 High Assurance Server CA', 'DigiCert SHA2 Secure Server CA']",white
192.168.199.39,"['google.com', 'google.com']","['GTS CA 1O1', 'GTS CA 1O1']",white
192.168.90.246,"['google.com', 'google.com', 'google.com', 'google.com']","['GTS CA 1O1', 'GTS CA 1O1', 'GTS CA 1O1', 'GTS CA 1O1']",white
192.168.78.189,"['autoupdate.opera.com', '*.opera.com', '*.operacdn.com']","['DigiCert SHA2 High Assurance Server CA', 'DigiCert SHA2 High Assurance Server CA', 'DigiCert SHA2 Secure Server CA']",white
192.168.13.18,"['google.com', 'google.com']","['GTS CA 1O1', 'GTS CA 1O1']",white
192.168.201.173,"['google.com', 'google.com']","['GTS CA 1O1', 'GTS CA 1O1']",white
192.168.17.112,"['livessl.chinanetcenter.com', 'builds.getgocdn.com']","['DigiCert CN RSA CA G1', 'DigiCert SHA2 Secure Server CA']",white
192.168.7.139,"['launch.getgo.com', 'livessl.chinanetcenter.com']","['DigiCert SHA2 Secure Server CA', 'DigiCert CN RSA CA G1']",white
192.168.160.206,"['google.com', 'google.com']","['GTS CA 1O1', 'GTS CA 1O1']",white
192.168.82.75,['google.com'],['GTS CA 1O1'],white
